City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
415,Porto Novo,40,BJ,2021-04-20 23:42:18,79,6.4965,2.6036,84.2,10.36
416,Urumqi,0,CN,2021-04-20 23:42:19,50,43.801,87.6005,53.6,6.71
417,Espanola,75,US,2021-04-20 23:42:19,25,35.9911,-106.0806,54.0,14.97
418,Kudahuvadhoo,52,MV,2021-04-20 23:42:20,68,2.6708,72.8944,82.02,6.55
419,Kungurtug,100,RU,2021-04-20 23:42:20,93,50.5994,97.5228,23.32,3.44
420,Wainwright,82,CA,2021-04-20 23:42:21,17,52.839,-110.8572,53.6,9.22
421,Jamsa,0,FI,2021-04-20 23:42:21,60,61.8642,25.19,35.6,4.61
422,Faya,0,SA,2021-04-20 23:42:21,54,18.3851,42.4509,60.8,6.22
423,Shimoda,0,JP,2021-04-20 23:42:22,42,34.6667,138.95,66.2,16.11
424,Alyangula,85,AU,2021-04-20 23:42:22,94,-13.8483,136.4192,82.4,7.16
425,Chase,20,CA,2021-04-20 23:38:27,22,50.8165,-119.6857,70.0,3.44
426,Acarau,65,BR,2021-04-20 23:37:49,82,-2.8856,-40.12,77.88,8.16
427,Flagstaff,1,US,2021-04-20 23:40:53,12,35.1981,-111.6513,66.99,18.41
428,Port-Gentil,20,GA,2021-04-20 23:39:57,94,-0.7193,8.7815,80.6,2.3
429,Constitucion,100,CL,2021-04-20 23:42:23,90,-35.3333,-72.4167,58.39,20.96
430,Lerik,40,AZ,2021-04-20 23:42:24,100,38.7726,48.4128,60.8,2.3
431,Stabat,40,ID,2021-04-20 23:42:24,100,3.761,98.4513,75.2,2.3
432,Guerrero Negro,3,MX,2021-04-20 23:42:25,59,27.9769,-114.0611,67.35,16.53
433,Marovoay,20,MG,2021-04-20 23:42:25,83,-16.1,46.6333,75.2,3.44
434,Port Keats,83,AU,2021-04-20 23:42:25,51,-14.25,129.55,85.15,5.48
435,Dhidhdhoo,94,MV,2021-04-20 23:42:26,72,6.8833,73.1,83.66,8.19
436,Abu Samrah,42,SY,2021-04-20 23:42:26,48,35.3029,37.1841,65.26,5.19
437,Matay,0,EG,2021-04-20 23:42:27,49,28.419,30.7792,65.16,22.35
438,Payo,80,ID,2021-04-20 23:42:27,94,-3.7508,103.6372,72.99,1.77
439,Kijini,40,TZ,2021-04-20 23:42:28,89,-5.85,39.3167,78.8,16.11
440,Kebumen,0,ID,2021-04-20 23:42:28,76,-7.6687,109.6519,76.69,4.07
441,Varzelandia,98,BR,2021-04-20 23:42:29,81,-15.7014,-44.0275,69.4,2.73
